Type,AreaR,Eccentricity,Extent,AxisRat,Solidity
1,1.5042,0.63965,0.51686,1.3009,0.66481
1,1.5502,0.29923,0.4664,1.048,0.64507
1,1.6204,0.47223,0.44288,1.1345,0.61712
1,1.5986,0.21028,0.4631,1.0229,0.62556
1,1.5137,0.48029,0.48315,1.1401,0.66064
1,1.6141,0.63901,0.38173,1.3001,0.61955
1,1.5892,0.57176,0.3886,1.2189,0.62926
1,1.4637,0.63726,0.49191,1.2976,0.68318
1,1.6005,0.52488,0.45582,1.1748,0.6248
1,1.5035,0.6134,0.48482,1.2662,0.6651
1,1.5944,0.69241,0.46798,1.386,0.62721
1,1.5984,0.61478,0.44449,1.2679,0.62562
1,1.5056,0.51656,0.52232,1.1679,0.66418
1,1.4976,0.71012,0.49929,1.4203,0.66772
1,1.4153,0.64451,0.52856,1.3079,0.70654
1,1.5937,0.57074,0.45403,1.2178,0.62747
1,1.3758,0.68758,0.56298,1.3772,0.72686
1,1.3694,0.68894,0.54706,1.3797,0.73027
1,1.3726,0.69258,0.56541,1.3863,0.72857
1,1.3854,0.69223,0.51782,1.3857,0.72179
1,1.3574,0.71419,0.53329,1.4287,0.73669
1,1.3459,0.71894,0.56074,1.4387,0.74301
1,1.3426,0.71542,0.50606,1.4312,0.74483
1,1.3448,0.72147,0.54376,1.4442,0.74362
1,1.4407,0.73143,0.47425,1.4665,0.69411
1,1.4399,0.73045,0.51183,1.4642,0.69451
1,1.3883,0.66413,0.53675,1.3376,0.72028
1,1.3962,0.6694,0.50625,1.3461,0.71626
1,1.4058,0.66897,0.53798,1.3454,0.71132
1,1.3789,0.6701,0.48678,1.3472,0.72523
1,1.3423,0.67695,0.5532,1.3586,0.74498
1,1.3358,0.67567,0.56391,1.3565,0.74864
1,1.3452,0.6765,0.47256,1.3579,0.74337
1,1.3486,0.67865,0.53725,1.3615,0.74151
1,1.3711,0.68677,0.53039,1.3758,0.72935
1,1.3719,0.68716,0.49726,1.3765,0.72893
1,1.3808,0.68626,0.47032,1.3748,0.72421
1,1.3729,0.69473,0.52611,1.3903,0.72841
1,1.4142,0.66661,0.46356,1.3415,0.70712
1,1.4117,0.67154,0.54092,1.3496,0.70837
1,1.4048,0.66829,0.49924,1.3443,0.71187
1,1.4061,0.67523,0.54687,1.3557,0.7112
1,1.3307,0.47726,0.58056,1.138,0.75146
1,1.3338,0.46686,0.55808,1.1308,0.74972
1,1.3339,0.48082,0.54432,1.1405,0.7497
1,1.3251,0.47524,0.55312,1.1365,0.75468
1,1.5125,0.69077,0.44289,1.383,0.66114
1,1.5123,0.69202,0.44991,1.3853,0.66126
1,1.5004,0.69296,0.45095,1.387,0.66649
1,1.5021,0.69496,0.46199,1.3907,0.66572
1,1.3977,0.28573,0.52356,1.0435,0.71548
1,1.4068,0.28045,0.48256,1.0418,0.71083
1,1.396,0.66476,0.50767,1.3386,0.71634
1,1.3877,0.6643,0.54546,1.3379,0.72063
1,1.3953,0.66432,0.51396,1.3379,0.7167
1,1.3936,0.66529,0.5452,1.3394,0.71759
1,1.371,0.64479,0.5172,1.3083,0.7294
1,1.3667,0.65173,0.52398,1.3185,0.73169
1,1.3696,0.64455,0.50363,1.3079,0.73014
1,1.364,0.65481,0.52121,1.3231,0.73313
1,1.4069,0.73394,0.52272,1.4723,0.71078
1,1.4017,0.73783,0.51939,1.4815,0.71342
1,1.403,0.73622,0.52161,1.4777,0.71274
1,1.3992,0.74236,0.5164,1.4925,0.71469
1,1.3995,0.64953,0.48935,1.3152,0.71456
1,1.3896,0.64899,0.52028,1.3144,0.71962
1,1.4036,0.65429,0.49618,1.3223,0.71244
1,1.3914,0.64513,0.52814,1.3088,0.71871
1,1.4469,0.67459,0.48672,1.3547,0.69114
1,1.433,0.67053,0.51219,1.3479,0.69782
1,1.4675,0.67647,0.51078,1.3578,0.68145
1,1.452,0.67587,0.52989,1.3568,0.68872
2,1.1855,0.85257,0.60112,1.9135,0.84354
2,1.1716,0.7644,0.62219,1.551,0.85352
2,1.1859,0.80457,0.56845,1.6839,0.84322
2,1.13,0.82133,0.59865,1.753,0.88492
2,1.2056,0.78631,0.54576,1.6185,0.82948
2,1.1583,0.81047,0.5922,1.7071,0.86332
2,1.1681,0.7872,0.57459,1.6215,0.85611
2,1.1899,0.83333,0.64247,1.809,0.84041
2,1.2017,0.83091,0.56513,1.7972,0.83217
2,1.1998,0.82333,0.56271,1.7619,0.83348
2,1.2102,0.84681,0.55632,1.88,0.8263
2,1.1974,0.85499,0.56341,1.9281,0.83517
2,1.1915,0.83542,0.60378,1.8195,0.8393
2,1.2413,0.81311,0.5644,1.7179,0.8056
2,1.157,0.76505,0.60981,1.5529,0.8643
2,1.1666,0.80587,0.62369,1.6889,0.85716
2,1.2161,0.84432,0.52948,1.8662,0.82233
2,1.244,0.8403,0.5516,1.8446,0.80384
2,1.2096,0.82602,0.57766,1.7742,0.8267
2,1.1367,0.80504,0.59414,1.6857,0.87973
2,1.1541,0.82358,0.62399,1.763,0.86648
2,1.1917,0.81392,0.58388,1.7212,0.83913
2,1.2197,0.85438,0.55613,1.9244,0.81985
2,1.1786,0.84711,0.59761,1.8818,0.84847
